epoch: 10, wins per 10: 5, avg checkers diff: -2.5
epoch: 1670, loss = 2.732, wins per 10: 8, avg checkers diff: 6.8
epoch: 1680, loss = 2.092, wins per 10: 7, avg checkers diff: 5.3
epoch: 1690, loss = 2.975, wins per 10: 6, avg checkers diff: 3.2
epoch: 1700, loss = 3.597, wins per 100: 75, avg checkers diff: 7.06
epoch: 1710, loss = 2.933, wins per 10: 10, avg checkers diff: 13.1
epoch: 1720, loss = 1.886, wins per 10: 6, avg checkers diff: 4.1
epoch: 1730, loss = 2.089, wins per 10: 9, avg checkers diff: 7.9
epoch: 1740, loss = 2.527, wins per 10: 10, avg checkers diff: 12.2
epoch: 1750, loss = 1.844, wins per 10: 7, avg checkers diff: 8.3
epoch: 1760, loss = 5.604, wins per 10: 6, avg checkers diff: 1.4
epoch: 1770, loss = 2.891, wins per 10: 7, avg checkers diff: 5.5
epoch: 1780, loss = 0.990, wins per 10: 10, avg checkers diff: 12.0
epoch: 1790, loss = 2.050, wins per 10: 7, avg checkers diff: 5.3
epoch: 1800, loss = 2.204, wins per 100: 81, avg checkers diff: 7.61
finished testing: 79.0 %
epoch: 1810, loss = 1.941, wins per 10: 7, avg checkers diff: 7.1
epoch: 1820, loss = 1.828, wins per 10: 8, avg checkers diff: 9.4
epoch: 1830, loss = 1.939, wins per 10: 9, avg checkers diff: 10.9
epoch: 1840, loss = 1.827, wins per 10: 7, avg checkers diff: 7.6
epoch: 1850, loss = 1.509, wins per 10: 7, avg checkers diff: 7.6
epoch: 1860, loss = 2.511, wins per 10: 9, avg checkers diff: 10.3
epoch: 1870, loss = 2.965, wins per 10: 8, avg checkers diff: 8.3
epoch: 1880, loss = 2.610, wins per 10: 10, avg checkers diff: 13.6
epoch: 1890, loss = 2.272, wins per 10: 10, avg checkers diff: 11.7
epoch: 1900, loss = 3.349, wins per 100: 84, avg checkers diff: 9.71
epoch: 1910, loss = 2.410, wins per 10: 8, avg checkers diff: 8.2
epoch: 1920, loss = 2.786, wins per 10: 9, avg checkers diff: 11.4
epoch: 1930, loss = 1.765, wins per 10: 8, avg checkers diff: 8.0
epoch: 1940, loss = 2.362, wins per 10: 7, avg checkers diff: 5.0
epoch: 1950, loss = 3.794, wins per 10: 9, avg checkers diff: 7.9
epoch: 1960, loss = 1.855, wins per 10: 10, avg checkers diff: 12.7
epoch: 1970, loss = 1.803, wins per 10: 8, avg checkers diff: 9.4
epoch: 1980, loss = 1.674, wins per 10: 7, avg checkers diff: 5.6
epoch: 1990, loss = 2.368, wins per 10: 8, avg checkers diff: 5.8
epoch: 2000, loss = 2.432, wins per 100: 80, avg checkers diff: 7.9
finished testing: 82.0 %
saved checkpoint
epoch: 2010, loss = 1.550, wins per 10: 10, avg checkers diff: 12.1
epoch: 2020, loss = 2.323, wins per 10: 9, avg checkers diff: 10.1
