epoch: 10, wins per 10: 6, avg checkers diff: 2.3
epoch: 1610, loss = 60.005, wins per 10: 10, avg checkers diff: 11.8
epoch: 1620, loss = 53.103, wins per 10: 8, avg checkers diff: 6.6
epoch: 1630, loss = 68.644, wins per 10: 8, avg checkers diff: 9.0
epoch: 1640, loss = 168.387, wins per 10: 8, avg checkers diff: 6.2
epoch: 1650, loss = 110.582, wins per 10: 8, avg checkers diff: 8.1
epoch: 1660, loss = 166.197, wins per 10: 7, avg checkers diff: 5.2
epoch: 1670, loss = 116.025, wins per 10: 9, avg checkers diff: 9.8
epoch: 1680, loss = 52.923, wins per 10: 7, avg checkers diff: 5.3
epoch: 1690, loss = 94.037, wins per 10: 9, avg checkers diff: 7.9
epoch: 1700, loss = 62.435, wins per 100: 83, avg checkers diff: 8.01
epoch: 1710, loss = 164.743, wins per 10: 7, avg checkers diff: 5.8
epoch: 1720, loss = 71.311, wins per 10: 8, avg checkers diff: 8.9
epoch: 1730, loss = 135.601, wins per 10: 9, avg checkers diff: 9.5
epoch: 1740, loss = 56.859, wins per 10: 8, avg checkers diff: 10.0
epoch: 1750, loss = 129.154, wins per 10: 6, avg checkers diff: 4.1
epoch: 1760, loss = 71.595, wins per 10: 6, avg checkers diff: 5.0
epoch: 1770, loss = 258.706, wins per 10: 5, avg checkers diff: 3.4
epoch: 1780, loss = 83.557, wins per 10: 9, avg checkers diff: 10.5
epoch: 1790, loss = 160.570, wins per 10: 8, avg checkers diff: 7.3
epoch: 1800, loss = 91.528, wins per 100: 75, avg checkers diff: 7.3
finished testing: 76.0 %
epoch: 1810, loss = 169.429, wins per 10: 9, avg checkers diff: 10.0
epoch: 1820, loss = 106.080, wins per 10: 8, avg checkers diff: 4.6
epoch: 1830, loss = 107.827, wins per 10: 7, avg checkers diff: 4.1
epoch: 1840, loss = 122.565, wins per 10: 8, avg checkers diff: 7.9
epoch: 1850, loss = 214.772, wins per 10: 7, avg checkers diff: 7.2
epoch: 1860, loss = 91.372, wins per 10: 7, avg checkers diff: 6.0
epoch: 1870, loss = 116.884, wins per 10: 7, avg checkers diff: 4.7
epoch: 1880, loss = 82.761, wins per 10: 8, avg checkers diff: 8.6
epoch: 1890, loss = 102.176, wins per 10: 8, avg checkers diff: 5.0
epoch: 1900, loss = 212.600, wins per 100: 77, avg checkers diff: 6.65
epoch: 1910, loss = 72.841, wins per 10: 9, avg checkers diff: 12.8
epoch: 1920, loss = 167.642, wins per 10: 5, avg checkers diff: -0.1
epoch: 1930, loss = 169.004, wins per 10: 10, avg checkers diff: 12.7
epoch: 1940, loss = 287.824, wins per 10: 5, avg checkers diff: 0.9
epoch: 1950, loss = 137.780, wins per 10: 8, avg checkers diff: 8.9
epoch: 1960, loss = 144.780, wins per 10: 7, avg checkers diff: 6.1
epoch: 1970, loss = 110.289, wins per 10: 6, avg checkers diff: 4.0
epoch: 1980, loss = 235.717, wins per 10: 9, avg checkers diff: 12.4
epoch: 1990, loss = 129.555, wins per 10: 8, avg checkers diff: 8.7
epoch: 2000, loss = 154.680, wins per 100: 75, avg checkers diff: 7.44
finished testing: 81.0 %
saved checkpoint
epoch: 2010, loss = 177.771, wins per 10: 9, avg checkers diff: 12.6
epoch: 2020, loss = 225.178, wins per 10: 8, avg checkers diff: 9.3
epoch: 2030, loss = 131.964, wins per 10: 6, avg checkers diff: 4.8
epoch: 2040, loss = 189.444, wins per 10: 6, avg checkers diff: 5.0
epoch: 2050, loss = 243.884, wins per 10: 7, avg checkers diff: 6.3
epoch: 2060, loss = 192.403, wins per 10: 6, avg checkers diff: 2.5
epoch: 2070, loss = 193.136, wins per 10: 8, avg checkers diff: 7.7
epoch: 2080, loss = 106.592, wins per 10: 8, avg checkers diff: 6.2
epoch: 2090, loss = 120.362, wins per 10: 8, avg checkers diff: 10.0
epoch: 2100, loss = 246.000, wins per 100: 76, avg checkers diff: 7.62
epoch: 2110, loss = 138.590, wins per 10: 6, avg checkers diff: 4.7
epoch: 2120, loss = 213.263, wins per 10: 5, avg checkers diff: 3.4
epoch: 2130, loss = 90.810, wins per 10: 9, avg checkers diff: 10.6
epoch: 2140, loss = 176.067, wins per 10: 8, avg checkers diff: 5.4
epoch: 2150, loss = 112.435, wins per 10: 8, avg checkers diff: 7.2
epoch: 2160, loss = 177.292, wins per 10: 8, avg checkers diff: 9.7
epoch: 2170, loss = 131.270, wins per 10: 8, avg checkers diff: 8.8
epoch: 2180, loss = 142.743, wins per 10: 9, avg checkers diff: 9.6
epoch: 2190, loss = 287.347, wins per 10: 9, avg checkers diff: 11.7
epoch: 2200, loss = 209.689, wins per 100: 76, avg checkers diff: 7.45
finished testing: 70.0 %
epoch: 2210, loss = 218.029, wins per 10: 9, avg checkers diff: 9.1
epoch: 2220, loss = 188.644, wins per 10: 6, avg checkers diff: 2.7
epoch: 2230, loss = 372.473, wins per 10: 7, avg checkers diff: 6.3
epoch: 2240, loss = 137.670, wins per 10: 8, avg checkers diff: 8.2
epoch: 2250, loss = 176.094, wins per 10: 8, avg checkers diff: 5.2
epoch: 2260, loss = 161.801, wins per 10: 10, avg checkers diff: 11.6
epoch: 2270, loss = 211.648, wins per 10: 10, avg checkers diff: 13.7
epoch: 2280, loss = 322.499, wins per 10: 7, avg checkers diff: 3.7
epoch: 2290, loss = 235.670, wins per 10: 7, avg checkers diff: 5.8
epoch: 2300, loss = 181.464, wins per 100: 78, avg checkers diff: 7.02
epoch: 2310, loss = 159.265, wins per 10: 6, avg checkers diff: 5.9
epoch: 2320, loss = 258.553, wins per 10: 7, avg checkers diff: 4.9
epoch: 2330, loss = 187.694, wins per 10: 9, avg checkers diff: 10.4
epoch: 2340, loss = 194.366, wins per 10: 8, avg checkers diff: 8.7
epoch: 2350, loss = 243.187, wins per 10: 8, avg checkers diff: 10.0
epoch: 2360, loss = 134.445, wins per 10: 8, avg checkers diff: 8.8
epoch: 2370, loss = 246.739, wins per 10: 10, avg checkers diff: 11.6
