epoch: 10, wins per 10: 4, avg checkers diff: -5.7
epoch: 2070, loss = 714.788, wins per 10: 7, avg checkers diff: 4.7
epoch: 2080, loss = 741.691, wins per 10: 9, avg checkers diff: 9.7
epoch: 2090, loss = 954.578, wins per 10: 9, avg checkers diff: 9.0
epoch: 2100, loss = 2129.760, wins per 100: 81, avg checkers diff: 7.9
epoch: 2110, loss = 504.353, wins per 10: 8, avg checkers diff: 6.6
epoch: 2120, loss = 849.117, wins per 10: 9, avg checkers diff: 11.7
epoch: 2130, loss = 701.530, wins per 10: 9, avg checkers diff: 10.6
epoch: 2140, loss = 522.807, wins per 10: 8, avg checkers diff: 7.7
epoch: 2150, loss = 936.636, wins per 10: 9, avg checkers diff: 8.7
epoch: 2160, loss = 386.412, wins per 10: 10, avg checkers diff: 11.8
epoch: 2170, loss = 947.366, wins per 10: 10, avg checkers diff: 9.1
epoch: 2180, loss = 1901.797, wins per 10: 9, avg checkers diff: 9.9
epoch: 2190, loss = 409.678, wins per 10: 7, avg checkers diff: 6.5
epoch: 2200, loss = 1748.169, wins per 100: 85, avg checkers diff: 8.57
finished testing: 82.0 %
epoch: 2210, loss = 1202.996, wins per 10: 9, avg checkers diff: 10.0
epoch: 2220, loss = 3939.865, wins per 10: 8, avg checkers diff: 7.7
epoch: 2230, loss = 886.542, wins per 10: 7, avg checkers diff: 4.3
epoch: 2240, loss = 1541.357, wins per 10: 8, avg checkers diff: 7.4
epoch: 2250, loss = 619.286, wins per 10: 9, avg checkers diff: 13.4
epoch: 2260, loss = 2292.811, wins per 10: 9, avg checkers diff: 12.5
epoch: 2270, loss = 710.729, wins per 10: 8, avg checkers diff: 10.1
epoch: 2280, loss = 2167.908, wins per 10: 9, avg checkers diff: 11.4
epoch: 2290, loss = 1925.484, wins per 10: 8, avg checkers diff: 7.5
epoch: 2300, loss = 1453.849, wins per 100: 83, avg checkers diff: 9.23
epoch: 2310, loss = 1480.691, wins per 10: 7, avg checkers diff: 4.6
epoch: 2320, loss = 2701.000, wins per 10: 8, avg checkers diff: 10.2
epoch: 2330, loss = 1483.720, wins per 10: 4, avg checkers diff: -0.8
epoch: 2340, loss = 1685.148, wins per 10: 8, avg checkers diff: 9.2
epoch: 2350, loss = 1708.037, wins per 10: 9, avg checkers diff: 9.1
epoch: 2360, loss = 754.525, wins per 10: 8, avg checkers diff: 8.9
epoch: 2370, loss = 2275.466, wins per 10: 10, avg checkers diff: 11.2
epoch: 2380, loss = 728.946, wins per 10: 9, avg checkers diff: 9.1
epoch: 2390, loss = 3352.683, wins per 10: 10, avg checkers diff: 13.3
epoch: 2400, loss = 1201.048, wins per 100: 78, avg checkers diff: 7.72
finished testing: 75.0 %
epoch: 2410, loss = 1073.134, wins per 10: 8, avg checkers diff: 8.2
epoch: 2420, loss = 879.409, wins per 10: 9, avg checkers diff: 12.5
epoch: 2430, loss = 2065.987, wins per 10: 7, avg checkers diff: 7.4
epoch: 2440, loss = 394.443, wins per 10: 8, avg checkers diff: 7.7
epoch: 2450, loss = 1188.469, wins per 10: 10, avg checkers diff: 12.0
epoch: 2460, loss = 2280.865, wins per 10: 9, avg checkers diff: 9.9
epoch: 2470, loss = 1403.918, wins per 10: 9, avg checkers diff: 9.4
epoch: 2480, loss = 1997.226, wins per 10: 7, avg checkers diff: 6.8
epoch: 2490, loss = 2639.478, wins per 10: 7, avg checkers diff: 5.6
epoch: 2500, loss = 1365.893, wins per 100: 83, avg checkers diff: 8.97
epoch: 2510, loss = 1648.233, wins per 10: 9, avg checkers diff: 10.0
epoch: 2520, loss = 1947.573, wins per 10: 9, avg checkers diff: 11.9
epoch: 2530, loss = 1072.230, wins per 10: 6, avg checkers diff: 6.0
epoch: 2540, loss = 1107.295, wins per 10: 9, avg checkers diff: 10.7
epoch: 2550, loss = 1787.434, wins per 10: 7, avg checkers diff: 2.4
epoch: 2560, loss = 1411.991, wins per 10: 8, avg checkers diff: 10.0
epoch: 2570, loss = 3245.360, wins per 10: 9, avg checkers diff: 9.7
epoch: 2580, loss = 1080.272, wins per 10: 3, avg checkers diff: -3.6
epoch: 2590, loss = 1904.375, wins per 10: 7, avg checkers diff: 6.2
epoch: 2600, loss = 2275.730, wins per 100: 76, avg checkers diff: 7.34
finished testing: 75.0 %
epoch: 2610, loss = 2170.578, wins per 10: 7, avg checkers diff: 6.2
epoch: 2620, loss = 1622.774, wins per 10: 8, avg checkers diff: 8.4
epoch: 2630, loss = 4000.269, wins per 10: 9, avg checkers diff: 11.2
epoch: 2640, loss = 5242.795, wins per 10: 7, avg checkers diff: 7.9
epoch: 2650, loss = 1986.153, wins per 10: 6, avg checkers diff: 0.8
epoch: 2660, loss = 3908.344, wins per 10: 9, avg checkers diff: 10.3
epoch: 2670, loss = 2926.819, wins per 10: 6, avg checkers diff: 2.4
epoch: 2680, loss = 5192.374, wins per 10: 8, avg checkers diff: 9.0
epoch: 2690, loss = 2137.140, wins per 10: 9, avg checkers diff: 9.9
epoch: 2700, loss = 4807.350, wins per 100: 78, avg checkers diff: 7.6
epoch: 2710, loss = 1819.157, wins per 10: 9, avg checkers diff: 11.7
epoch: 2720, loss = 1106.976, wins per 10: 9, avg checkers diff: 8.1
epoch: 2730, loss = 2038.477, wins per 10: 6, avg checkers diff: 2.4
epoch: 2740, loss = 4054.962, wins per 10: 5, avg checkers diff: 2.8
epoch: 2750, loss = 2693.822, wins per 10: 6, avg checkers diff: 3.3
epoch: 2760, loss = 1059.514, wins per 10: 9, avg checkers diff: 7.6
epoch: 2770, loss = 2577.493, wins per 10: 8, avg checkers diff: 7.5
epoch: 2780, loss = 3009.787, wins per 10: 7, avg checkers diff: 5.9
epoch: 2790, loss = 2169.943, wins per 10: 8, avg checkers diff: 5.4
epoch: 2800, loss = 2416.692, wins per 100: 74, avg checkers diff: 5.88
finished testing: 80.0 %
epoch: 2810, loss = 7493.633, wins per 10: 9, avg checkers diff: 12.3
epoch: 2820, loss = 1490.814, wins per 10: 7, avg checkers diff: 6.0
epoch: 2830, loss = 3281.823, wins per 10: 5, avg checkers diff: 2.2
epoch: 2840, loss = 2526.800, wins per 10: 9, avg checkers diff: 8.9
epoch: 2850, loss = 2859.059, wins per 10: 8, avg checkers diff: 6.5
epoch: 2860, loss = 1768.688, wins per 10: 10, avg checkers diff: 9.3
epoch: 2870, loss = 1787.031, wins per 10: 6, avg checkers diff: 2.0
epoch: 2880, loss = 2654.366, wins per 10: 8, avg checkers diff: 10.3
epoch: 2890, loss = 2440.863, wins per 10: 8, avg checkers diff: 6.8
epoch: 2900, loss = 2029.488, wins per 100: 80, avg checkers diff: 7.9
epoch: 2910, loss = 5411.040, wins per 10: 7, avg checkers diff: 4.7
epoch: 2920, loss = 4117.361, wins per 10: 9, avg checkers diff: 9.0
epoch: 2930, loss = 6149.062, wins per 10: 8, avg checkers diff: 9.8
epoch: 2940, loss = 3174.634, wins per 10: 8, avg checkers diff: 10.3
epoch: 2950, loss = 15415.898, wins per 10: 6, avg checkers diff: 0.2
epoch: 2960, loss = 4279.788, wins per 10: 7, avg checkers diff: 3.5
epoch: 2970, loss = 3199.446, wins per 10: 9, avg checkers diff: 8.0
epoch: 2980, loss = 8361.195, wins per 10: 9, avg checkers diff: 8.8
epoch: 2990, loss = 2611.670, wins per 10: 8, avg checkers diff: 9.0
epoch: 3000, loss = 2364.879, wins per 100: 81, avg checkers diff: 7.7
finished testing: 71.0 %
saved checkpoint
epoch: 3010, loss = 2662.095, wins per 10: 8, avg checkers diff: 8.4
epoch: 3020, loss = 5164.330, wins per 10: 9, avg checkers diff: 10.8
epoch: 3030, loss = 2940.972, wins per 10: 8, avg checkers diff: 9.4
epoch: 3040, loss = 5189.475, wins per 10: 9, avg checkers diff: 10.0
epoch: 3050, loss = 2838.475, wins per 10: 4, avg checkers diff: 1.5
epoch: 3060, loss = 7007.925, wins per 10: 7, avg checkers diff: 7.6
epoch: 3070, loss = 1689.097, wins per 10: 10, avg checkers diff: 10.6
epoch: 3080, loss = 4088.469, wins per 10: 6, avg checkers diff: 2.2
epoch: 3090, loss = 3404.444, wins per 10: 9, avg checkers diff: 10.1
epoch: 3100, loss = 1699.265, wins per 100: 78, avg checkers diff: 8.11
epoch: 3110, loss = 3136.895, wins per 10: 7, avg checkers diff: 6.3
epoch: 3120, loss = 4729.247, wins per 10: 10, avg checkers diff: 10.2
epoch: 3130, loss = 1623.609, wins per 10: 6, avg checkers diff: 4.8
epoch: 3140, loss = 4309.280, wins per 10: 7, avg checkers diff: 2.8
epoch: 3150, loss = 2559.358, wins per 10: 8, avg checkers diff: 8.8
epoch: 3160, loss = 4936.395, wins per 10: 9, avg checkers diff: 11.0
epoch: 3170, loss = 2431.365, wins per 10: 8, avg checkers diff: 7.1
epoch: 3180, loss = 1988.356, wins per 10: 7, avg checkers diff: 7.0
epoch: 3190, loss = 2902.205, wins per 10: 10, avg checkers diff: 13.7
epoch: 3200, loss = 2258.966, wins per 100: 81, avg checkers diff: 8.13
finished testing: 76.0 %
epoch: 3210, loss = 1655.348, wins per 10: 9, avg checkers diff: 9.1
epoch: 3220, loss = 3433.151, wins per 10: 6, avg checkers diff: 5.6
epoch: 3230, loss = 8355.061, wins per 10: 8, avg checkers diff: 7.6
epoch: 3240, loss = 964.355, wins per 10: 6, avg checkers diff: 1.8
epoch: 3250, loss = 2512.046, wins per 10: 8, avg checkers diff: 8.6
epoch: 3260, loss = 2075.140, wins per 10: 7, avg checkers diff: 6.4
epoch: 3270, loss = 3533.200, wins per 10: 8, avg checkers diff: 7.7
epoch: 3280, loss = 4277.010, wins per 10: 6, avg checkers diff: 3.4
epoch: 3290, loss = 3341.339, wins per 10: 7, avg checkers diff: 5.5
epoch: 3300, loss = 1608.208, wins per 100: 72, avg checkers diff: 6.19
epoch: 3310, loss = 1077.931, wins per 10: 8, avg checkers diff: 8.1
epoch: 3320, loss = 1463.186, wins per 10: 9, avg checkers diff: 9.5
epoch: 3330, loss = 3256.173, wins per 10: 7, avg checkers diff: 7.3
epoch: 3340, loss = 3663.916, wins per 10: 6, avg checkers diff: 1.4
epoch: 3350, loss = 1770.083, wins per 10: 8, avg checkers diff: 6.7
epoch: 3360, loss = 1885.712, wins per 10: 7, avg checkers diff: 5.6
epoch: 3370, loss = 2096.177, wins per 10: 8, avg checkers diff: 6.2
epoch: 3380, loss = 1277.044, wins per 10: 7, avg checkers diff: 6.5
epoch: 3390, loss = 1919.054, wins per 10: 9, avg checkers diff: 11.3
epoch: 3400, loss = 2745.256, wins per 100: 74, avg checkers diff: 6.37
finished testing: 81.0 %
epoch: 3410, loss = 5153.898, wins per 10: 7, avg checkers diff: 8.1
epoch: 3420, loss = 2643.908, wins per 10: 9, avg checkers diff: 12.0
epoch: 3430, loss = 3399.152, wins per 10: 9, avg checkers diff: 8.8
epoch: 3440, loss = 1979.393, wins per 10: 8, avg checkers diff: 7.4
epoch: 3450, loss = 2934.258, wins per 10: 9, avg checkers diff: 10.9
epoch: 3460, loss = 4303.023, wins per 10: 7, avg checkers diff: 5.2
epoch: 3470, loss = 3359.511, wins per 10: 6, avg checkers diff: 4.8
epoch: 3480, loss = 5487.781, wins per 10: 9, avg checkers diff: 9.6
epoch: 3490, loss = 7259.362, wins per 10: 7, avg checkers diff: 6.9
epoch: 3500, loss = 2061.123, wins per 100: 77, avg checkers diff: 7.69
epoch: 3510, loss = 4361.482, wins per 10: 9, avg checkers diff: 10.0
