epoch: 10, wins per 10: 4, avg checkers diff: -4.7
epoch: 20, wins per 10: 2, avg checkers diff: -8.7
epoch: 30, wins per 10: 2, avg checkers diff: -7.3
epoch: 40, wins per 10: 1, avg checkers diff: -12.4
epoch: 50, wins per 10: 3, avg checkers diff: -4.6
epoch: 60, wins per 10: 3, avg checkers diff: -6.4
epoch: 1830, loss = 2.130, wins per 10: 3, avg checkers diff: -4.1
epoch: 1840, loss = 2.178, wins per 10: 3, avg checkers diff: -8.5
epoch: 1850, loss = 2.701, wins per 10: 3, avg checkers diff: -4.2
epoch: 1860, loss = 0.559, wins per 10: 2, avg checkers diff: -10.6
epoch: 1870, loss = 3.569, wins per 10: 2, avg checkers diff: -9.9
epoch: 1880, loss = 0.935, wins per 10: 2, avg checkers diff: -8.1
epoch: 1890, loss = 2.954, wins per 10: 2, avg checkers diff: -8.8
epoch: 1900, loss = 1.421, wins per 10: 2, avg checkers diff: -7.3
epoch: 1910, loss = 2.799, wins per 10: 1, avg checkers diff: -7.9
epoch: 1920, loss = 1.426, wins per 10: 3, avg checkers diff: -5.9
epoch: 1930, loss = 4.128, wins per 10: 3, avg checkers diff: -5.5
epoch: 1940, loss = 3.994, wins per 10: 1, avg checkers diff: -11.4
epoch: 1950, loss = 2.580, wins per 10: 2, avg checkers diff: -7.6
epoch: 1960, loss = 6.041, wins per 10: 3, avg checkers diff: -8.8
epoch: 1970, loss = 3.575, wins per 10: 2, avg checkers diff: -9.0
epoch: 1980, loss = 4.260, wins per 10: 2, avg checkers diff: -10.3
epoch: 1990, loss = 1.718, wins per 10: 2, avg checkers diff: -6.9
epoch: 2000, loss = 2.183, wins per 10: 0, avg checkers diff: -14.6
finished testing
saved checkpoint
epoch: 2010, loss = 1.047, wins per 10: 2, avg checkers diff: -9.7
epoch: 2020, loss = 2.226, wins per 10: 3, avg checkers diff: -3.3
epoch: 2030, loss = 0.893, wins per 10: 1, avg checkers diff: -10.7
epoch: 2040, loss = 2.094, wins per 10: 1, avg checkers diff: -9.5
epoch: 2050, loss = 1.377, wins per 10: 1, avg checkers diff: -9.6
epoch: 2060, loss = 1.071, wins per 10: 1, avg checkers diff: -11.1
epoch: 2070, loss = 2.007, wins per 10: 2, avg checkers diff: -10.3
epoch: 2080, loss = 1.623, wins per 10: 0, avg checkers diff: -13.4
epoch: 2090, loss = 1.080, wins per 10: 1, avg checkers diff: -10.7
epoch: 2100, loss = 1.070, wins per 10: 4, avg checkers diff: -4.0
epoch: 2110, loss = 6.134, wins per 10: 2, avg checkers diff: -8.2
epoch: 2120, loss = 1.770, wins per 10: 4, avg checkers diff: -2.7
epoch: 2130, loss = 1.317, wins per 10: 3, avg checkers diff: -4.7
epoch: 2140, loss = 0.693, wins per 10: 0, avg checkers diff: -12.3
epoch: 2150, loss = 3.580, wins per 10: 1, avg checkers diff: -10.9
epoch: 2160, loss = 1.267, wins per 10: 1, avg checkers diff: -10.5
epoch: 2170, loss = 1.591, wins per 10: 3, avg checkers diff: -5.3
epoch: 2180, loss = 9.763, wins per 10: 3, avg checkers diff: -4.1
epoch: 2190, loss = 1.614, wins per 10: 2, avg checkers diff: -7.9
epoch: 2200, loss = 0.939, wins per 10: 1, avg checkers diff: -10.8
finished testing
epoch: 2210, loss = 1.891, wins per 10: 2, avg checkers diff: -10.5
epoch: 2220, loss = 0.665, wins per 10: 3, avg checkers diff: -5.2
epoch: 2230, loss = 1.315, wins per 10: 2, avg checkers diff: -8.2
epoch: 2240, loss = 1.446, wins per 10: 3, avg checkers diff: -5.4
epoch: 2250, loss = 1.892, wins per 10: 5, avg checkers diff: 1.0
epoch: 2260, loss = 3.021, wins per 10: 3, avg checkers diff: -4.5
epoch: 2270, loss = 1.198, wins per 10: 3, avg checkers diff: -4.7
epoch: 2280, loss = 2.979, wins per 10: 5, avg checkers diff: -0.1
epoch: 2290, loss = 4.336, wins per 10: 5, avg checkers diff: 1.4
epoch: 2300, loss = 2.453, wins per 10: 4, avg checkers diff: -1.2
epoch: 2310, loss = 1.138, wins per 10: 2, avg checkers diff: -8.4
epoch: 2320, loss = 5.026, wins per 10: 4, avg checkers diff: -1.4
epoch: 2330, loss = 0.904, wins per 10: 1, avg checkers diff: -7.7
epoch: 2340, loss = 1.620, wins per 10: 2, avg checkers diff: -8.3
epoch: 2350, loss = 5.315, wins per 10: 3, avg checkers diff: -5.3
epoch: 2360, loss = 1.360, wins per 10: 5, avg checkers diff: -2.0
epoch: 2370, loss = 2.564, wins per 10: 1, avg checkers diff: -9.4
epoch: 2380, loss = 1.765, wins per 10: 5, avg checkers diff: 0.5
epoch: 2390, loss = 1.391, wins per 10: 3, avg checkers diff: -6.1
epoch: 2400, loss = 4.520, wins per 10: 2, avg checkers diff: -6.6
finished testing
epoch: 2410, loss = 1.673, wins per 10: 3, avg checkers diff: -6.2
epoch: 2420, loss = 0.941, wins per 10: 3, avg checkers diff: -9.6
epoch: 2430, loss = 1.742, wins per 10: 3, avg checkers diff: -6.7
epoch: 2440, loss = 1.739, wins per 10: 3, avg checkers diff: -5.0
