epoch: 10, wins per 10: 9, avg checkers diff: 9.0
epoch: 20, wins per 10: 6, avg checkers diff: 3.7
epoch: 30, wins per 10: 8, avg checkers diff: 7.8
epoch: 40, wins per 10: 6, avg checkers diff: 3.3
epoch: 50, wins per 10: 10, avg checkers diff: 12.3
epoch: 60, wins per 10: 8, avg checkers diff: 7.9
epoch: 70, wins per 10: 7, avg checkers diff: 7.3
epoch: 80, wins per 10: 8, avg checkers diff: 9.4
epoch: 90, wins per 10: 7, avg checkers diff: 6.5
epoch: 2150, loss = 3.250, wins per 10: 5, avg checkers diff: -0.4
epoch: 2160, loss = 2.831, wins per 10: 8, avg checkers diff: 4.8
epoch: 2170, loss = 4.721, wins per 10: 8, avg checkers diff: 9.1
epoch: 2180, loss = 5.438, wins per 10: 5, avg checkers diff: 1.2
epoch: 2190, loss = 5.131, wins per 10: 7, avg checkers diff: 6.7
epoch: 2200, loss = 2.259, wins per 10: 6, avg checkers diff: 3.7
finished testing
epoch: 2210, loss = 5.026, wins per 10: 6, avg checkers diff: 4.2
epoch: 2220, loss = 3.460, wins per 10: 9, avg checkers diff: 10.3
epoch: 2230, loss = 5.846, wins per 10: 9, avg checkers diff: 9.5
epoch: 2240, loss = 3.191, wins per 10: 7, avg checkers diff: 3.3
epoch: 2250, loss = 3.754, wins per 10: 7, avg checkers diff: 6.5
epoch: 2260, loss = 5.781, wins per 10: 8, avg checkers diff: 7.9
epoch: 2270, loss = 2.841, wins per 10: 7, avg checkers diff: 3.6
epoch: 2280, loss = 7.467, wins per 10: 7, avg checkers diff: 8.9
epoch: 2290, loss = 3.935, wins per 10: 9, avg checkers diff: 9.8
epoch: 2300, loss = 5.058, wins per 10: 8, avg checkers diff: 10.0
epoch: 2310, loss = 1.898, wins per 10: 9, avg checkers diff: 9.7
epoch: 2320, loss = 4.876, wins per 10: 7, avg checkers diff: 5.9
epoch: 2330, loss = 5.660, wins per 10: 6, avg checkers diff: 2.7
epoch: 2340, loss = 4.584, wins per 10: 8, avg checkers diff: 8.0
epoch: 2350, loss = 4.800, wins per 10: 7, avg checkers diff: 7.5
epoch: 2360, loss = 4.191, wins per 10: 7, avg checkers diff: 4.9
