epoch: 10, wins per 10: 9, avg checkers diff: 10.5
epoch: 2140, loss = 5.772, wins per 10: 7, avg checkers diff: 5.6
epoch: 2150, loss = 10.564, wins per 10: 7, avg checkers diff: 6.7
epoch: 2160, loss = 3.851, wins per 10: 8, avg checkers diff: 9.3
epoch: 2170, loss = 5.021, wins per 10: 8, avg checkers diff: 7.1
epoch: 2180, loss = 1.580, wins per 10: 8, avg checkers diff: 7.2
epoch: 2190, loss = 3.908, wins per 10: 7, avg checkers diff: 4.4
epoch: 2200, loss = 4.451, wins per 100: 78, avg checkers diff: 6.94
finished testing: 79.0 %
epoch: 2210, loss = 4.751, wins per 10: 10, avg checkers diff: 12.6
epoch: 2220, loss = 2.194, wins per 10: 9, avg checkers diff: 8.0
epoch: 2230, loss = 3.763, wins per 10: 7, avg checkers diff: 3.8
epoch: 2240, loss = 4.860, wins per 10: 8, avg checkers diff: 10.6
epoch: 2250, loss = 3.267, wins per 10: 10, avg checkers diff: 12.2
epoch: 2260, loss = 3.028, wins per 10: 8, avg checkers diff: 5.9
epoch: 2270, loss = 3.393, wins per 10: 6, avg checkers diff: 3.1
epoch: 2280, loss = 2.926, wins per 10: 9, avg checkers diff: 11.8
epoch: 2290, loss = 7.000, wins per 10: 8, avg checkers diff: 5.7
epoch: 2300, loss = 3.552, wins per 100: 82, avg checkers diff: 7.92
epoch: 2310, loss = 3.264, wins per 10: 6, avg checkers diff: 2.6
epoch: 2320, loss = 2.529, wins per 10: 9, avg checkers diff: 5.6
epoch: 2330, loss = 2.507, wins per 10: 6, avg checkers diff: 4.4
epoch: 2340, loss = 3.018, wins per 10: 8, avg checkers diff: 4.5
epoch: 2350, loss = 8.500, wins per 10: 7, avg checkers diff: 4.6
epoch: 2360, loss = 2.888, wins per 10: 6, avg checkers diff: 5.5
epoch: 2370, loss = 2.731, wins per 10: 8, avg checkers diff: 7.5
epoch: 2380, loss = 3.415, wins per 10: 6, avg checkers diff: 3.7
epoch: 2390, loss = 2.790, wins per 10: 9, avg checkers diff: 9.6
epoch: 2400, loss = 1.945, wins per 100: 72, avg checkers diff: 5.35
finished testing: 74.0 %
epoch: 2410, loss = 2.142, wins per 10: 10, avg checkers diff: 12.8
epoch: 2420, loss = 2.684, wins per 10: 10, avg checkers diff: 11.8
epoch: 2430, loss = 1.163, wins per 10: 8, avg checkers diff: 7.5
