epoch: 3310, loss = 3.005, wins per 10: 3, avg checkers diff: -6.7
epoch: 3320, loss = 10.411, wins per 10: 0, avg checkers diff: -12.3
epoch: 3330, loss = 3.329, wins per 10: 1, avg checkers diff: -6.7
epoch: 3340, loss = 4.002, wins per 10: 2, avg checkers diff: -8.6
epoch: 3350, loss = 5.268, wins per 10: 4, avg checkers diff: -1.2
epoch: 3360, loss = 7.597, wins per 10: 2, avg checkers diff: -6.2
epoch: 3370, loss = 8.052, wins per 10: 4, avg checkers diff: -1.9
epoch: 3380, loss = 3.738, wins per 10: 2, avg checkers diff: -6.4
epoch: 3390, loss = 3.912, wins per 10: 2, avg checkers diff: -6.0
epoch: 3400, loss = 8.411, wins per 100: 24, avg checkers diff: -5.84
finished testing: 26.0 %
epoch: 3410, loss = 4.926, wins per 10: 3, avg checkers diff: -3.8
epoch: 3420, loss = 6.241, wins per 10: 2, avg checkers diff: -8.1
epoch: 3430, loss = 4.057, wins per 10: 4, avg checkers diff: -2.7
epoch: 3440, loss = 3.256, wins per 10: 6, avg checkers diff: 2.1
epoch: 3450, loss = 3.030, wins per 10: 5, avg checkers diff: -0.1
epoch: 3460, loss = 3.233, wins per 10: 4, avg checkers diff: -4.1
epoch: 3470, loss = 13.183, wins per 10: 4, avg checkers diff: -3.9
epoch: 3480, loss = 4.479, wins per 10: 2, avg checkers diff: -5.5
epoch: 3490, loss = 3.798, wins per 10: 4, avg checkers diff: -2.3
epoch: 3500, loss = 9.482, wins per 100: 40, avg checkers diff: -2.85
epoch: 3510, loss = 8.281, wins per 10: 1, avg checkers diff: -7.8
epoch: 3520, loss = 3.136, wins per 10: 3, avg checkers diff: -5.6
epoch: 3530, loss = 4.322, wins per 10: 0, avg checkers diff: -11.6
epoch: 3540, loss = 3.067, wins per 10: 4, avg checkers diff: -3.4
epoch: 3550, loss = 3.791, wins per 10: 4, avg checkers diff: -1.8
epoch: 3560, loss = 11.441, wins per 10: 2, avg checkers diff: -9.0
epoch: 3570, loss = 12.102, wins per 10: 3, avg checkers diff: -4.2
