C:\Users\user\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\optim\lr_scheduler.py:136: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
epoch: 2080, loss = 24.979, wins per 10: 5, avg checkers diff: 3.0
epoch: 2090, loss = 39.464, wins per 10: 7, avg checkers diff: 6.2
epoch: 2100, loss = 18.531, wins per 100: 43, avg checkers diff: -1.65
epoch: 2110, loss = 15.295, wins per 10: 6, avg checkers diff: 1.3
epoch: 2120, loss = 27.446, wins per 10: 7, avg checkers diff: 5.1
epoch: 2130, loss = 33.745, wins per 10: 4, avg checkers diff: -1.9
epoch: 2140, loss = 23.553, wins per 10: 3, avg checkers diff: -1.8
epoch: 2150, loss = 16.847, wins per 10: 6, avg checkers diff: 2.1
epoch: 2160, loss = 27.522, wins per 10: 4, avg checkers diff: -1.0
epoch: 2170, loss = 52.324, wins per 10: 6, avg checkers diff: 1.1
epoch: 2180, loss = 25.664, wins per 10: 4, avg checkers diff: -2.9
epoch: 2190, loss = 20.598, wins per 10: 5, avg checkers diff: 1.6
epoch: 2200, loss = 42.631, wins per 100: 47, avg checkers diff: -0.28
finished testing: 39.33333333333333 %
epoch: 2210, loss = 19.224, wins per 10: 3, avg checkers diff: -5.0
epoch: 2220, loss = 23.429, wins per 10: 5, avg checkers diff: 1.5
epoch: 2230, loss = 23.875, wins per 10: 6, avg checkers diff: 0.1
epoch: 2240, loss = 28.562, wins per 10: 7, avg checkers diff: 2.7
epoch: 2250, loss = 54.725, wins per 10: 4, avg checkers diff: -4.2
epoch: 2260, loss = 33.531, wins per 10: 4, avg checkers diff: -3.6
epoch: 2270, loss = 34.127, wins per 10: 5, avg checkers diff: -0.6
epoch: 2280, loss = 12.749, wins per 10: 4, avg checkers diff: -3.4
epoch: 2290, loss = 43.098, wins per 10: 4, avg checkers diff: -1.3
epoch: 2300, loss = 39.064, wins per 100: 44, avg checkers diff: -2.12
epoch: 2310, loss = 21.344, wins per 10: 5, avg checkers diff: 1.2
epoch: 2320, loss = 28.133, wins per 10: 6, avg checkers diff: 2.0
epoch: 2330, loss = 23.490, wins per 10: 4, avg checkers diff: -3.8
epoch: 2340, loss = 15.447, wins per 10: 5, avg checkers diff: -2.1
epoch: 2350, loss = 38.832, wins per 10: 6, avg checkers diff: 3.5
epoch: 2360, loss = 18.372, wins per 10: 5, avg checkers diff: 3.3
