C:\Users\user\AppData\Local\Programs\Python\Python311\Lib\site-packages\torch\optim\lr_scheduler.py:136: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
epoch: 1450, loss = 2.947, wins per 10: 7, avg checkers diff: 6.2
epoch: 1460, loss = 2.174, wins per 10: 7, avg checkers diff: 7.2
epoch: 1470, loss = 2.313, wins per 10: 6, avg checkers diff: 4.6
epoch: 1480, loss = 2.903, wins per 10: 6, avg checkers diff: 3.4
epoch: 1490, loss = 2.333, wins per 10: 8, avg checkers diff: 5.7
epoch: 1500, loss = 2.834, wins per 100: 71, avg checkers diff: 5.42
epoch: 1510, loss = 2.078, wins per 10: 7, avg checkers diff: 6.0
epoch: 1520, loss = 2.158, wins per 10: 7, avg checkers diff: 5.9
epoch: 1530, loss = 1.245, wins per 10: 6, avg checkers diff: 4.1
epoch: 1540, loss = 2.996, wins per 10: 5, avg checkers diff: 0.9
epoch: 1550, loss = 2.221, wins per 10: 7, avg checkers diff: 6.5
epoch: 1560, loss = 1.949, wins per 10: 3, avg checkers diff: -3.7
epoch: 1570, loss = 2.959, wins per 10: 3, avg checkers diff: -5.5
epoch: 1580, loss = 3.873, wins per 10: 1, avg checkers diff: -10.5
epoch: 1590, loss = 1.799, wins per 10: 4, avg checkers diff: -4.1
epoch: 1600, loss = 1.966, wins per 100: 51, avg checkers diff: 0.85
finished testing: 48.333333333333336 %
epoch: 1610, loss = 1.078, wins per 10: 6, avg checkers diff: 3.7
epoch: 1620, loss = 1.395, wins per 10: 9, avg checkers diff: 12.4
epoch: 1630, loss = 2.121, wins per 10: 6, avg checkers diff: 2.5
epoch: 1640, loss = 2.929, wins per 10: 2, avg checkers diff: -7.6
epoch: 1650, loss = 3.025, wins per 10: 2, avg checkers diff: -11.1
epoch: 1660, loss = 2.045, wins per 10: 5, avg checkers diff: 0.6
epoch: 1670, loss = 1.496, wins per 10: 1, avg checkers diff: -5.8
epoch: 1680, loss = 2.439, wins per 10: 2, avg checkers diff: -5.4
epoch: 1690, loss = 2.621, wins per 10: 5, avg checkers diff: -0.4
epoch: 1700, loss = 1.341, wins per 100: 41, avg checkers diff: -1.59
epoch: 1710, loss = 1.173, wins per 10: 5, avg checkers diff: 0.0
epoch: 1720, loss = 1.357, wins per 10: 4, avg checkers diff: -1.1
epoch: 1730, loss = 2.375, wins per 10: 5, avg checkers diff: -1.4
epoch: 1740, loss = 1.218, wins per 10: 4, avg checkers diff: -0.1
epoch: 1750, loss = 1.894, wins per 10: 6, avg checkers diff: 4.6
epoch: 1760, loss = 2.781, wins per 10: 5, avg checkers diff: 0.9
epoch: 1770, loss = 2.010, wins per 10: 8, avg checkers diff: 7.2
epoch: 1780, loss = 1.436, wins per 10: 5, avg checkers diff: -0.9
epoch: 1790, loss = 2.244, wins per 10: 5, avg checkers diff: -1.6
epoch: 1800, loss = 2.423, wins per 100: 53, avg checkers diff: 1.0
finished testing: 45.666666666666664 %
epoch: 1810, loss = 1.635, wins per 10: 6, avg checkers diff: 3.5
epoch: 1820, loss = 2.210, wins per 10: 8, avg checkers diff: 9.8
epoch: 1830, loss = 1.923, wins per 10: 5, avg checkers diff: 0.8
epoch: 1840, loss = 2.806, wins per 10: 7, avg checkers diff: 4.6
epoch: 1850, loss = 1.835, wins per 10: 3, avg checkers diff: -4.3
epoch: 1860, loss = 1.769, wins per 10: 6, avg checkers diff: 2.5
epoch: 1870, loss = 3.751, wins per 10: 0, avg checkers diff: -11.0
epoch: 1880, loss = 2.133, wins per 10: 3, avg checkers diff: -5.0
epoch: 1890, loss = 2.488, wins per 10: 3, avg checkers diff: -8.7
epoch: 1900, loss = 1.948, wins per 100: 46, avg checkers diff: -0.79
epoch: 1910, loss = 3.484, wins per 10: 7, avg checkers diff: 4.5
epoch: 1920, loss = 8.136, wins per 10: 6, avg checkers diff: 3.3
epoch: 1930, loss = 5.320, wins per 10: 2, avg checkers diff: -5.8
epoch: 1940, loss = 2.578, wins per 10: 1, avg checkers diff: -11.8
epoch: 1950, loss = 2.553, wins per 10: 3, avg checkers diff: -6.5
epoch: 1960, loss = 10.858, wins per 10: 4, avg checkers diff: -0.7
epoch: 1970, loss = 2.848, wins per 10: 3, avg checkers diff: -7.3
epoch: 1980, loss = 3.730, wins per 10: 2, avg checkers diff: -8.0
epoch: 1990, loss = 2.815, wins per 10: 7, avg checkers diff: 4.6
epoch: 2000, loss = 2.115, wins per 100: 42, avg checkers diff: -2.03
finished testing: 42.333333333333336 %
saved checkpoint
epoch: 2010, loss = 2.754, wins per 10: 9, avg checkers diff: 10.9
epoch: 2020, loss = 2.397, wins per 10: 8, avg checkers diff: 5.1
epoch: 2030, loss = 2.198, wins per 10: 8, avg checkers diff: 8.8
epoch: 2040, loss = 2.676, wins per 10: 7, avg checkers diff: 2.7
epoch: 2050, loss = 3.857, wins per 10: 1, avg checkers diff: -11.6
epoch: 2060, loss = 2.490, wins per 10: 6, avg checkers diff: 2.0
epoch: 2070, loss = 6.295, wins per 10: 2, avg checkers diff: -6.9
epoch: 2080, loss = 4.782, wins per 10: 4, avg checkers diff: -6.4
epoch: 2090, loss = 2.967, wins per 10: 6, avg checkers diff: 2.1
epoch: 2100, loss = 1.799, wins per 100: 55, avg checkers diff: 0.18
epoch: 2110, loss = 4.520, wins per 10: 3, avg checkers diff: -5.5
epoch: 2120, loss = 2.124, wins per 10: 5, avg checkers diff: 1.0
epoch: 2130, loss = 2.402, wins per 10: 3, avg checkers diff: -6.1
epoch: 2140, loss = 3.039, wins per 10: 8, avg checkers diff: 9.9
epoch: 2150, loss = 2.578, wins per 10: 8, avg checkers diff: 8.3
epoch: 2160, loss = 4.464, wins per 10: 4, avg checkers diff: -2.0
epoch: 2170, loss = 2.198, wins per 10: 2, avg checkers diff: -6.0
epoch: 2180, loss = 2.924, wins per 10: 5, avg checkers diff: -0.1
epoch: 2190, loss = 2.561, wins per 10: 5, avg checkers diff: -0.1
epoch: 2200, loss = 2.620, wins per 100: 46, avg checkers diff: -0.92
finished testing: 53.0 %
epoch: 2210, loss = 5.816, wins per 10: 3, avg checkers diff: -7.4
epoch: 2220, loss = 2.136, wins per 10: 5, avg checkers diff: -1.6
epoch: 2230, loss = 3.397, wins per 10: 8, avg checkers diff: 8.7
epoch: 2240, loss = 3.168, wins per 10: 5, avg checkers diff: 0.7
epoch: 2250, loss = 3.131, wins per 10: 6, avg checkers diff: 4.1
epoch: 2260, loss = 3.998, wins per 10: 5, avg checkers diff: -4.2
epoch: 2270, loss = 7.262, wins per 10: 2, avg checkers diff: -4.5
epoch: 2280, loss = 1.918, wins per 10: 3, avg checkers diff: -3.2
epoch: 2290, loss = 5.151, wins per 10: 4, avg checkers diff: -3.0
epoch: 2300, loss = 3.654, wins per 100: 43, avg checkers diff: -1.79
epoch: 2310, loss = 4.159, wins per 10: 5, avg checkers diff: -0.2
epoch: 2320, loss = 1.701, wins per 10: 3, avg checkers diff: -4.7
epoch: 2330, loss = 2.756, wins per 10: 4, avg checkers diff: -5.3
epoch: 2340, loss = 1.882, wins per 10: 5, avg checkers diff: -0.5
epoch: 2350, loss = 2.262, wins per 10: 7, avg checkers diff: 6.9
epoch: 2360, loss = 4.520, wins per 10: 6, avg checkers diff: 3.3
epoch: 2370, loss = 6.550, wins per 10: 8, avg checkers diff: 6.5
epoch: 2380, loss = 4.100, wins per 10: 5, avg checkers diff: -0.7
